1,2,3,4,5,6,7,8,9
9999,15001,48.02,26.95,240,19901100,20009999,AVRAMENI,RO
LRCL,15120,46.78,23.57,413,19910600,99999999,CLUJ-NAPOCA/SOMESEN,RO
LIPD,16044,46.04,13.18,94,19951100,99999999,UDINE/CAMPOFORMIDO,IT
LIPI,16045,45.97,13.05,52,20160118,99999999,UDINE/RIVOLTO,IT
LIML,16080,45.43,9.28,103,19951100,99999999,MILANO/LINATE,IT
9999,16087,45.45,11.0,90,0,99999999,VERONA,IT
9999,22008,68.98,33.12,121,20180000,99999999,MURMANSK,RU
ULMM,22113,68.97,33.05,51,19970500,99999999,MURMANSK,RU
9999,22217,67.15,32.35,26,19941200,99999999,KANDALAKSA,RU
9999,22522,64.98,34.8,10,19911000,99999999,KEM (PORT),RU
9999,22820,61.82,34.27,109,19910500,99999999,PETROZAVODSK,RU
ULTT,26038,59.45,24.8,44,0,99999999,TALLIN,RU
ULLI,26063,59.97,30.3,72,0,99999999,ST. PETERBURG,RU
9999,26075,59.95,30.7,72,20180000,99999999,ST. PETERSBURG,RU
9999,26258,57.8,28.42,42,19951000,20009999,PSKOV,RU
9999,26298,57.9,34.05,178,19901200,99999999,BOLOGOE,RU
UMRR,26422,56.97,24.07,7,0,99999999,RIGA,RU
9999,26435,56.65,25.13,83,20180102,99999999,LVA SKRIVERI,LE
9999,26441,56.88,26.33,251,0,20009999,MADONA,BY
ULOL,26477,56.38,30.6,98,19970500,99999999,VELIKIE LUKI,RU
9999,26629,54.88,23.88,75,19901200,99999999,KAUNAS,BY
9999,26702,54.7,20.62,21,19910800,99999999,KALININGRAD,BY
9999,26781,54.75,32.07,241,19910800,99999999,SMOLENSK,RU
UMMS,26850,53.87,27.53,231,19901200,20009999,MINSK,BY
9999,27612,55.75,37.57,156,19911000,99999999,MOSCOW,RU
9999,27707,54.12,35.33,239,19910500,99999999,SUHINICI,RU
UUDD,27713,55.4,37.9,179,20180000,99999999,MOSCOW POLGOPRUDNYJ,RU
UMBB,33008,52.12,23.68,144,0,99999999,BREST,BY
9999,33041,52.45,31.0,127,19941200,99999999,GOMEL',BY
9999,33317,50.17,27.05,278,19910500,99999999,SEPETOVKA,UA
UKKK,33345,50.4,30.45,167,19970500,99999999,KIEV/ZHULYANY,UA
UKLL,33393,49.82,23.95,325,19950300,99999999,L'VIV,UA
9999,33631,48.63,22.27,118,0,99999999,UZGOROD,UA
9999,33658,48.37,25.9,246,19950300,99999999,CHERNIVTSI,UA
9999,33663,48.45,27.78,79,0,20009999,MOGILEV-PODOL'SKIJ,UA
UKDR,33791,47.92,33.22,100,19950700,99999999,LOZUVATKA,UA   
UKII,33815,47.02,28.87,173,0,99999999,KISHINEV,RU
UKOO,33837,46.43,30.77,43,19950300,99999999,ODESSA/TSENTRALNY,UA
UKFF,33946,45.02,33.98,187,19970500,99999999,SIMFEROPOL',UA
9999,33966,45.05,34.6,183,19970100,99999999,KRYMSKAYA,UA
9999,34009,51.77,36.17,247,19961200,99999999,KURSK,RU
9999,34300,49.93,36.28,152,0,99999999,KHARKOV,RU
9999,3001,60.85,-0.88,53,0,20019999,MUCKLE FLUGGA (LH),GB
9999,3005,60.13,-1.18,82,19900800,99999999,LERWICK/SHETLAND IS,GB
9999,3023,57.33,-7.37,10,19961100,99999999,SOUTH UIST RANGE,GB
EGPO,3026,58.22,-6.32,9,0,99999999,STORNOWAY,GB
EGQK,3066,57.65,-3.57,7,19920400,99999999,KINLOSS RAF,GB
EGPD,3091,57.2,-2.22,65,19901000,20009999,ABERDEEN/DYCE,GB
EGOY,3130,54.85,-4.95,16,0,20009999,WEST FREUGH,GB
9999,3132,54.85,-4.95,12,19940500,20009999,WEST FREUGH (AUT),GB
9999,3162,55.32,-3.2,242,0,20009999,ESKDALEMUIR,GB
EGQL,3171,56.38,-2.87,12,0,99999999,LEUCHARS RAF,GB
EGNS,3204,54.08,-4.63,17,19970300,20009999,ISLE OF MAN/RONALDS,GB
9999,3213,54.32,-3.4,9,0,20009999,ESKMEALS,GB
9999,3238,55.01,-1.87,141,0,99999999,ALBEMARLE,GB
EGQM,3240,55.42,-1.6,23,19920200,99999999,BOULMER,GB
EGXE,3257,54.3,-1.53,40,19900500,99999999,LEEMING RAF,GB
9999,3317,53.57,-3.05,11,0,99999999,WOODVALE,GB
9999,3354,53.0,-1.25,117,0,99999999,NOTTINGHAM WX CTR,GB
EGXW,3377,53.17,-0.52,70,0,99999999,WADDINGTON RAF,GB
EGOS,3414,52.8,-2.67,76,0,99999999,SHAWBURY RAF,GB
EGUC,3502,52.13,-4.57,132,0,99999999,ABERPORTH,GB
9999,3559,52.1,-0.42,30,20180111,20190227,CARDINGTON,GB
EGVN,3649,51.75,-1.58,88,19920700,99999999,BRIZE NORTON RAF,GB
EGFF,3715,51.4,-3.35,67,0,20009999,CARDIFF-WALES ARPT,GB
9999,3743,51.2,-1.8,132,0,99999999,LARKHILL,GB
EGRR,3763,51.38,-0.78,74,19941200,20009999,BRACKNELL/BEAUFORT,GB
9999,3808,50.22,-5.32,87,19940800,99999999,CAMBORNE,GB
9999,3918,54.3,-6.19,15,0,99999999,CASTOR BAY,IE
9999,3920,54.48,-6.1,38,19951100,99999999,HILLSBOROUGH,GB
9999,3953,51.93,-10.25,9,0,99999999,VALENTIA OBSERVATORY,IE
BIEG,4089,65.28,-14.37,38,20100000,99999999,EGILSSTADIR,IS
9999,6011,62.02,-6.77,55,19901000,99999999,THORSHAVN (PORT),DK
9999,6842,47.38,-9.65,408,0,99999999,DIEPOLDSAV,CH
LFRB,7110,48.45,-4.42,99,19940700,99999999,BREST/GUIPAVAS,FR
