1	2	3	4	5	6	7	8	9
LSMP	6610	46.82N	6.95E	490	19910800	99999999	PAYERNE (MIL/AUT)	CH
9999	6842	47.38N	9.65W	408	0	99999999	DIEPOLDSAV	CH
9999	6843	46.70N	9.42E	865	0	99999999	MASEIN	CH
LFRB	7110	48.45N	4.42W	99	19940700	99999999	BREST/GUIPAVAS	FR
9999	7145	48.77N	2.02E	168	0	99999999	TRAPPES (AUT)	FR
LFSN	7180	48.68N	6.22E	225	19940400	99999999	NANCY/ESSEY	FR
LFLL	7481	45.73N	5.08E	248	19900800	99999999	LYON/SATOLAS	FR
LFBD	7510	44.83N	0.70W	45	19941200	99999999	BORDEAUX/MERIGNAC	FR
LFME	7645	43.87N	4.40E	60	0	99999999	NIMES/COURBESSAC	FR
LFMN	7690	43.65N	7.20E	10	19901100	99999999	NICE/COTE D'AZUR	FR
LFKJ	7761	41.92N	8.80E	5	19901100	99999999	AJACCIO/CAMPO ORO	FR
9999	8001	43.37N	8.42W	67	19901100	99999999	LA CORUNA CITY	ES
9999	8023	43.47N	3.82W	65	19901100	99999999	SANTANDER CITY	ES
LEZG	8160	41.67N	1.02W	258	19901100	99999999	ZARAGOZA (MIL/CIV)&	ES
9999	8190	41.38N	2.12E	91	20070000	99999999	BARCELONA SERVEI	ES
LEMD	8221	40.47N	3.58W	638	0	99999999	MADRID/BARAJAS	ES
9999	8301	39.55N	2.62E	6	19901100	99999999	PALMA DE MALLORCA	ES
9999	8302	39.60N	2.70E	45	19830100	99999999	PALMA/SON BENET	ES
9999	8430	38.00N	1.17W	62	19920300	99999999	MURCIA CITY	ES
LERT	8449	36.65N	6.35W	27	19581103	19659999	ROTA NAS	ES
LXGB	8495	36.15N	5.33W	3	0	99999999	GIBRALTAR (CIV/MIL)	GI
9999	8506	38.52N	28.63W	62	0	20009999	HORTA	PT
9999	8507	39.10N	28.03W	28	20080000	99999999	GRACIOSA AERODROME	PT
9999	8508	38.73N	27.07W	113	19920200	99999999	LAJES/SANTA RITA	PT
LPLA	8509	38.77N	27.10W	55	19970300	20009999	LAJES AB	PT
9999	8522	32.63N	16.90W	56	19970300	99999999	FUNCHAL	PT
9999	8579	38.77N	9.13W	105	19970300	99999999	LISBON/GAGO COUTINHO	PT
9999	8589	14.90N	23.52W	27	20060000	99999999	PRAIA	CV
GVAC	8594	16.73N	22.95W	55	0	99999999	SAL ISL/AMILCAR CAB	CV
9999	10035	54.53N	9.55E	48	0	99999999	SCHLESWIG	DE
